,agency_name,agency_type_name,county_name,division_name,latitude,longitude,nibrs,ori,region_desc,region_name,state_abbr,state_name
12149,Morristown Police Department,City,BELMONT,East North Central,40.017682,-80.967727,0.0,OH0071300,Region II,Midwest,OH,Ohio
12150,Buchtel Police Department,City,HOCKING; ATHENS,East North Central,39.333848,-82.046008,0.0,OH0050600,Region II,Midwest,OH,Ohio
12151,Richfield Police Department,City,SUMMIT,East North Central,41.121851,-81.534936,0.0,OH0772600,Region II,Midwest,OH,Ohio
12152,Miamisburg Police Department,City,MONTGOMERY,East North Central,39.753736,-84.290591,1.0,OH0570800,Region II,Midwest,OH,Ohio
12153,Logan County Sheriff's Office,County,LOGAN,East North Central,40.387553,-83.766343,1.0,OH0460000,Region II,Midwest,OH,Ohio
12154,South Euclid Police Department,City,CUYAHOGA,East North Central,41.523094,-81.51943,1.0,OH0185000,Region II,Midwest,OH,Ohio
12155,Belpre Police Department,City,WASHINGTON,East North Central,39.450684,-81.490653,1.0,OH0840100,Region II,Midwest,OH,Ohio
12156,Cridersville Police Department,City,AUGLAIZE,East North Central,40.65425,-84.144135,0.0,OH0060400,Region II,Midwest,OH,Ohio
12157,Washington Court House Police Department,City,FAYETTE,East North Central,39.536858,-83.439026,1.0,OH0240100,Region II,Midwest,OH,Ohio
12158,Milton Township Police Department,City,MAHONING,East North Central,41.01088,-80.770396,1.0,OH0502000,Region II,Midwest,OH,Ohio
12159,Fairfax Police Department,City,HAMILTON,East North Central,39.196927,-84.544187,1.0,OH0311100,Region II,Midwest,OH,Ohio
12160,Paulding County Sheriff's Office,County,PAULDING,East North Central,41.136963,-84.57705,1.0,OH0630000,Region II,Midwest,OH,Ohio
12161,Burton Police Department,City,GEAUGA,East North Central,41.499322,-81.173505,0.0,OH0280300,Region II,Midwest,OH,Ohio
12162,Alexandria Police Department,City,LICKING,East North Central,40.08903,-82.612465,0.0,OH0450200,Region II,Midwest,OH,Ohio
12163,Timberlake Police Department,City,LAKE,East North Central,41.66603,-81.447784,0.0,OH0431700,Region II,Midwest,OH,Ohio
12164,Bellaire Police Department,City,BELMONT,East North Central,40.017682,-80.967727,1.0,OH0070200,Region II,Midwest,OH,Ohio
12165,Lebanon Police Department,City,WARREN,East North Central,39.43554,-84.20856,0.0,OH0830300,Region II,Midwest,OH,Ohio
12166,Hamilton County Park District,Other,HAMILTON,East North Central,39.196927,-84.544187,1.0,OH0314600,Region II,Midwest,OH,Ohio
12167,"Perry Township Police Department, Franklin County",City,FRANKLIN,East North Central,40.110653,-83.09106,1.0,OH0253400,Region II,Midwest,OH,Ohio
